Location,Province,State,Hewett_Sample_Number,Mine,USGS_Sample_ID,Mineral,Additional_Descriptions,Selected_References,Collector,Latitude,Longitude,WGS84_Coordinate_Source,MRDS_Record_ID,PLSS,Sample_Type,Label_Origin,Mn_Oxide_Dominant,Mn_Min_Vol_Estimate,Mass_kilograms,Mass_grams,Cabinet_Letter,Drawer_Number,,
Japan,Kanto,,J-5,Kyurazawa Mine,MC0747,knebelite,"Odaki ore body, Kyurazawa Mine, Ashio Town, Tochigi, Japan.",Reference_30,,36.57772,139.34762,ArcGIS,,,Reference Hand Sample(s),Paper Bag,N,20,0.05,50,G,G5,,
Nye County,,Nevada,NE-15-Q-13,Quinn Canyon Range,MC0154,lithiophorite,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder",Rock Bag,Y,65,0.27,270,A,11,,
Nye County,,Nevada,NE-15-Q-51B,Quinn Canyon Range,MC0157,lithiophorite,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder",Rock Bag,N,40,0.288,288,A,11,,
Nye County,,Nevada,NE-15-Q-52C,Quinn Canyon Range,MC0158,lithiophorite,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder,Sand",Rock Bag,N,20,0.392,392,A,11,,
Nye County,,Nevada,NE-15-Q-70,Quinn Canyon Range,MC0164,lithiophorite,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,50,0.354,354,A,11,,
Etowah County,,Alabama,E-14,Greasy Cove,MC0413,lithiophorite,,,W.G. Pierce,34.00015,-82.21664,MRDS,10067533,,Reference Hand Sample(s),Rock Bag,Y,95,1.822,"1,822",C,C4,,
Bradley County,,Tennessee,E-23,White Oak Mountain Deposit,MC0427,lithiophorite,Manganese occurance located in Fort Payne Chert.,,,35.19872,-84.98049,MRDS,10067827,,Reference Hand Sample(s),Rock Bag,Y,70,0.116,116,C,C5,,
Pima County,,Arizona,AR-29,San Xavier Mine,MC0180,manganese-hedenbergite,,,Truman H. Kuhn,31.97401,-111.09652,MRDS,10039579,,"Reference Hand Sample(s),Pebble",Rock Bag,N,30,0.092,92,A,13,,
Graham County,,Arizona,AR-27,,MC0036,manganiferous pyroxine,"Near Arivaipa, Graham County, Arizona",,Frank Simons,32.98340,-110.33398,MRDS,60000293,,Reference Hand Sample(s),Rock Bag,N,40,1.152,"1,152",A,3,,
Coal County,,Oklahoma,SE-20,Moseley Creek No.4,MC0455,manganite,,,John A. Straczek,34.47432,-96.48418,MRDS,10127562,,"Reference Hand Sample(s),Powder",Rock Bag,Y,85,0.864,864,D,D2,,
Coal County,,Oklahoma,SE-18,Moseley Creek No.1,MC0466,manganite,,,,34.43702,-96.47638,MRDS,10135629,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,70,0.826,826,D,D3,,
Atikokan,Ontario,,,Steep Rock Iron Mine,MC0655,manganite,,,Harry Klemic,48.82310,-91.64297,MRDS,10157857,,Reference Hand Sample(s),Rock Bag,N,10,0.2,200,F,F4,,
Hants County,Nova Scotia,,C-9,Deep Hollow Mine,MC0659,manganite,Brown Manganese Prospect,Reference_10,,45.15208,-64.18244,NCAT,,,Reference Hand Sample(s),Rock Bag,N,40,0.21,210,F,F4,,
Hants County,Nova Scotia,,C-14,McCumber Mine (Macumber Mine),MC0662,manganite,,Reference_10,,45.1551,-64.18568,NCAT,,,Reference Hand Sample(s),Rock Bag,Y,75,0.78,780,F,F5,,
Lunenburg County,Nova Scotia,,C-4,New Ross Manganese Mine,MC0665,manganite,,Reference_10,,44.84477,-64.45338,NCAT,,,Reference Hand Sample(s),Rock Bag,Y,60,1.64,"1,640",F,F5,,
Japan,Hokkaido,,J-1,Nagatoyo Mine,MC0745,manganite,,Reference_14,Zyunpei Harada,42.6808,140.07352,ArcGIS,,,"Reference Hand Sample(s),Powder",Paper Bag,Y,90,0.02,20,G,G5,,
Japan,Hokkaido,,J-27,Ryubu Mine,MC0761,manganite,"""Ryubu Mine, Hokkaido""-Y. Hariya",Reference_17,Yu Hariya,42.26382,139.89647,ArcGIS,,,"Reference Hand Sample(s),Powder",Paper Bag,Y,75,0.024,24,G,G5,,
Japan,Hokkaido,,J-32,Hatsune Mine,MC0764,manganite,"""Hatsune Mine, Hokkaido""-Y. Hariya",Reference_17,Yu Hariya,42.37097,139.86678,ArcGIS,,,"Reference Hand Sample(s),Powder",Paper Bag,Y,65,0.008,8,G,G5,,
Sweden,Västra Götaland,,Misc-2,Bölet,MC0770,manganite,Swedish mine and ore resource map with coordinates,Reference_25,,58.60999,14.52503,NCAT,,,Reference Hand Sample(s),Rock Bag,Y,80,0.07,70,G,G6,,
Mason County,,Washington,,Black and White Mine,MC0198,native copper,,,John A. Straczek,47.57423,-123.34626,MRDS,10088849,,Reference Hand Sample(s),Rock Bag,N,30,0.22,220,A,14,,
Clallam County,,Washington,WA-1-5,Crescent Mine,MC0223,neotocite,,,John A. Straczek,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,75,1.026,"1,026",A,16,,
Clallam County,,Washington,WA-1-20,Crescent Mine,MC0229,neotocite,,,M.D. Crittenden,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,80,0.224,224,A,16,,
Clallam County,,Washington,WA-1-27,Crescent Mine,MC0230,neotocite,,,M.D. Crittenden,48.07750,-123.94333,MRDS,10042389,,Reference Hand Sample(s),Rock Bag,Y,80,0.042,42,A,16,,
Alleghany County,,North Carolina,E-25,Bald Knob Deposit,MC0442,neotocite,,,Jewell J. Glass,36.53898,-81.08231,MRDS,10150753,,Reference Hand Sample(s),Rock Bag,N,40,0.394,394,D,D1,,
Independence County,,Arkansas,SE-1,Hankins Hollow Mine,MC0471,neotocite,,,,35.88119,-91.82705,MRDS,10138685,,Reference Hand Sample(s),Rock Bag,Y,40,0.258,258,D,D3,,
San Luis Obispo County ,,California,Cal-56,Welch Mine,MC0600,neotocite,,,,35.27077,-120.77738,MRDS,10189733,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,50,1.466,"1,466",E,E7,,
Stanislaus County,,California,Cal-57,Buckeye Mine,MC0634,neotocite,,,,37.52714,-121.39546,MRDS,10033644,,Reference Hand Sample(s),Rock Bag,N,20,0.846,846,F,F2,,
Trinity County,,California,Cal-34,Hale Creek Mine,MC0640,neotocite,,,M.D. Crittenden,40.36596,-123.46862,MRDS,10109405,,Reference Hand Sample(s),Rock Bag,Y,60,0.422,422,F,F3,,
San Luis Obispo County ,,California,Cal-40,Mt. Bishop Mine,MC0660,neotocite,,,,35.69776,-121.09459,MRDS,10140716,,Reference Hand Sample(s),Rock Bag,N,30,1.482,"1,482",F,F5,,
Molango,,Hidalgo,M-23,,MC0502,nsutite,Molangos Piedras Negras District,,N.W. Jaffe,20.83386,-98.73361,MRDS,60001850,,Reference Hand Sample(s),Rock Bag,Y,85,0.016,16,D,D5,,
Plumas County,,California,Cal-65,Braito Mine,MC0633,piedmontite,,,,40.07876,-120.95272,MRDS,10072360,,"Reference Hand Sample(s),Pebble",Rock Bag,N,30,0.846,846,F,F2,,
Argentina,Catamarca,,SA-14,Farallón Negro,MC0686,polianite,,,, -27.41416,-66.74944,MRDS,10303949,,Reference Hand Sample(s),Rock Bag,Y,65,1.336,"1,336",G,G1,,
Grant County,,New Mexico,NM-30,Contact Mine,MC0336,pyrochroite,,,S.K. Neuschel,32.68401,-108.37173,MRDS,10013273,,Reference Hand Sample(s),Paper Bag,Y,50,0.746,746,B,B6,,
Grant County,,New Mexico,NM-30,Contact Mine,MC0337,pyrochroite,,,S.K. Neuschel,32.68401,-108.37173,MRDS,10013273,,Reference Hand Sample(s),Paper Bag,Y,60,0.482,482,B,B6,,
Grant County,,New Mexico,NM-30,Contact Mine,MC0338,pyrochroite,,,S.K. Neuschel,32.68401,-108.37173,MRDS,10013273,,Reference Hand Sample(s),Paper Bag,Y,60,0.786,786,B,B6,,
Grant County,,New Mexico,NM-30,Contact Mine,MC0339,pyrochroite,,,S.K. Neuschel,32.68401,-108.37173,MRDS,10013273,,Reference Hand Sample(s),Paper Bag,Y,70,0.294,294,B,B6,,
Grant County,,New Mexico,NM-30,Contact Mine,MC0340,pyrochroite,,,S.K. Neuschel,32.68401,-108.37173,MRDS,10013273,,Reference Hand Sample(s),Paper Bag,Y,60,0.226,226,B,B6,,
Grant County,,New Mexico,NM-30,Contact Mine,MC0341,pyrochroite,,,S.K. Neuschel,32.68401,-108.37173,MRDS,10013273,,Reference Hand Sample(s),Paper Bag,Y,60,0.402,402,B,B6,,
Grant County,,New Mexico,NM-30,Contact Mine,MC0342,pyrochroite,,,S.K. Neuschel,32.68401,-108.37173,MRDS,10013273,,Reference Hand Sample(s),Paper Bag,Y,70,0.548,548,B,B6,,
Grant County,,New Mexico,NM-30,Contact Mine,MC0343,pyrochroite,,,S.K. Neuschel,32.68401,-108.37173,MRDS,10013273,,Reference Hand Sample(s),Paper Bag,Y,80,0.404,404,B,B6,,
Grant County,,New Mexico,NM-30,Contact Mine,MC0344,pyrochroite,,,S.K. Neuschel,32.68401,-108.37173,MRDS,10013273,,Reference Hand Sample(s),Paper Bag,Y,60,0.434,434,B,B6,,
Japan,Tohoku,,J-4,Noda-Tamagawa Mine,MC0746,pyrochroite,"Misago ore body, Noda-Tamagawa Mine, Kunoe District, Iwate, Japan. ",Reference_12,,36.66938,139.44736,ArcGIS,,,Reference Hand Sample(s),Paper Bag,Y,50,0.038,38,G,G5,,
Aguila District,,Arizona,AR-20,Sambo Prospect,MC0017,pyrolusite,El Oso Mine,,,33.81200,-113.05354,MRDS,10027581,,Reference Hand Sample(s),Rock Bag,Y,90,0.128,128,A,2,,
Aguila District,,Arizona,AR-21,Lions Den Mine,MC0026,pyrolusite,,,,33.73589,-113.27187,MRDS,10027098,,"Reference Hand Sample(s),Powder",Rock Bag,N,45,0.37,370,A,2,,
Yavapai County,,Arizona,,Castle Creek Deposit,MC0058,pyrolusite,,,E.L. Jones,34.00196,-112.35854,MRDS,10161789,,Reference Hand Sample(s),Rock Bag,Y,95,0.12,120,A,4,,
Campbell County,,Virginia,,Merritt Property,MC0084,pyrolusite,,,,37.16840,-79.30947,MRDS,10080188,,Reference Hand Sample(s),Rock Bag,Y,50,0.304,304,A,6,,
Nye County,,Nevada,NE-15-Q-107,Quinn Canyon Range,MC0136,pyrolusite,,,,38.13576,-118.67013,MRDS,10067315,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,90,0.722,722,A,10,,
Nye County,,Nevada,NE-15-Q-109,Quinn Canyon Range,MC0143,pyrolusite,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,N,30,0.174,174,A,10,,
Nye County,,Nevada,NE-15-Q-108,Quinn Canyon Range,MC0150,pyrolusite,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,Y,70,0.548,548,A,11,,
Nye County,,Nevada,NE-15-Q-50,Quinn Canyon Range,MC0165,pyrolusite,,,,38.13576,-118.67013,MRDS,10067315,,Reference Hand Sample(s),Rock Bag,Y,70,0.384,384,A,11,,
Granite County,,Montana,,Gird Creek Prospect,MC0185,pyrolusite,,,"S.K. Neuschel, M.D. Crittenden",46.48709,-113.19782,MRDS,10245613,,Reference Hand Sample(s),Rock Bag,N,45,0.136,136,A,13,,
Salida,,Colorado,,,MC0253,pyrolusite,Browns Canyon Fluorspar Area,,,38.64722,-106.07560,MRDS,10013778,,Reference Hand Sample(s),Rock Bag,Y,70,0.95,950,A,18,,
Ouray County,,Colorado,COL-8,Ouray Hot Spring,MC0254,pyrolusite,,,Don White,38.01780,-107.66784,MRDS,10287967,,Reference Hand Sample(s),Rock Bag,Y,80,1.954,"1,954",A,18,,
Salt Lake County,,Utah,UT-18,Evans Limestone Quarry,MC0260,pyrolusite,,,,40.44605,-111.94635,MRDS,10020908,,Reference Hand Sample(s),Rock Bag,Y,80,0.232,232,B,B1,,
Juab County,,Utah,UT-14,Orme Property,MC0266,pyrolusite,,,,39.37136,-111.95388,MRDS,10275731,,"Reference Hand Sample(s),Powder,Sand",Rock Bag,Y,75,0.424,424,B,B1,,
San Juan County,,Utah,UT-28,,MC0287,pyrolusite,"Lisbon Valley, Utah",,,38.3589496,-109.4411839,Earth Point©,,"Northwest Section 19,T28S,R23E",Reference Hand Sample(s),Rock Bag,Y,55,1.688,"1,688",,On Dresser A,,
Luna County,,New Mexico,NM-15,Manganese Valley Mine,MC0293,pyrolusite,Little Florida Mountains District,,S.K. Neuschel,32.20346,-107.59198,MRDS,10067834,,"Reference Hand Sample(s),Powder",Paper Bag,Y,90,0.786,786,B,B3,,
Sierra County,,New Mexico,,Lake Valley Deposit,MC0303,pyrolusite,,,S.K. Neuschel,32.71679,-107.56727,MRDS,10105528,,Reference Hand Sample(s),Rock Bag,Y,75,1.84,"1,840",,On Dresser A,,
Rincon,,New Mexico,NM-11,Morgan Mine,MC0323,pyrolusite,,,,32.68622,-107.07448,MRDS,10199095,,"Reference Hand Sample(s),Pebble",Rock Bag,Y,80,1.244,"1,244",B,B5,,
Harding County,,New Mexico,,Crooks No. 1 Claim,MC0373,pyrolusite,Cuba Manganese District,,S.K. Neuschel,36.02145,-104.24774,MRDS,10014470,,Reference Hand Sample(s),Paper Bag,Y,60,0.038,38,C,C2,,
Campbell County,,Virginia,E-54,Grasty Manganese Mine,MC0397,pyrolusite,,,,37.16313,-79.30808,MRDS,10082542,,Reference Hand Sample(s),Rock Bag,Y,90,1.974,"1,974",C,C3,,
Neva,,Tennessee,E-21,Wilson Hill Mine,MC0404,pyrolusite,,,,36.37369,-81.86928,MRDS,10084245,,Reference Hand Sample(s),Rock Bag,Y,85,0.312,312,C,C4,,
Page County,,Virginia,E-51,Stanley Mine,MC0412,pyrolusite,,,,35.56004,-78.51055,MRDS,10105492,,"Reference Hand Sample(s),Powder",Rock Bag,Y,95,1.236,"1,236",C,C4,,
Augusta County,,Virginia,E-46,Mt. Torry Tract,MC0418,pyrolusite,,,,37.94449,-78.99835,MRDS,10084408,,Reference Hand Sample(s),Rock Bag,Y,100,0.148,148,C,C5,,
Augusta County,,Virginia,E-46,Vesuvius Mine,MC0419,pyrolusite,Lyndhurst-Vesuvius District,,,37.95838,-79.07474,MRDS,10105491,,Reference Hand Sample(s),Rock Bag,Y,95,0.022,22,C,C5,,
Augusta County,,Virginia,E-41,Crimora Mine,MC0420,pyrolusite,,,,38.13972,-78.81750,MRDS,10067823,,Reference Hand Sample(s),Rock Bag,Y,70,1.05,"1,050",C,C5,,
Unicoi County,,Tennessee,E-19,Susan Brummet Mine,MC0423,pyrolusite,,,F.W. Stead,36.21429,-82.30485,MRDS,10227150,,Reference Hand Sample(s),Rock Bag,Y,90,0.66,660,C,C5,,
Oriskany,,Virginia,E-45,Mineral Ridge Mine,MC0424,pyrolusite,,,,39.03892,-78.48666,MRDS,10084160,,Reference Hand Sample(s),Rock Bag,Y,90,0.304,304,C,C5,,
Campbell County,,Virginia,E-18,Piedmont Manganese Mine,MC0430,pyrolusite,,,D.F. Hewett,37.36950,-79.03947,MRDS,10082530,,Reference Hand Sample(s),Rock Bag,Y,60,0.304,304,C,C5,,
Imuris,,Sonora ,M-16,Gamer Propert,MC0483,pyrolusite,,,Parker D. Trask,30.75016,-110.71734,MRDS,10098746,,"Reference Hand Sample(s),Powder",Rock Bag,Y,90,0.184,184,D,D4,,
Tephuanes,,Durango,M-25,Pichacho de la Candela,MC0484,pyrolusite,,,Parker D. Trask,25.41703,-105.55050,MRDS,10050040,,"Reference Hand Sample(s),Powder",Rock Bag,Y,85,0.266,266,D,D4,,
Ensenada,,Baja California,Cal-27,Gavilan Mine,MC0513,pyrolusite,"Point Conception, Mexico",,,32.16676,-116.16749,MRDS,10048929,,Reference Hand Sample(s),Rock Bag,N,30,1.16,"1,160",D,D6,,
San Bernardino County,,California,Cal-74,Owl Holes Deposit,MC0570,pyrolusite,,,,35.64888,-116.69809,MRDS,10036243,,Reference Hand Sample(s),Rock Bag,Y,80,0.396,396,E,E4,,
Riverside County,,California,Cal-18,Arlington-Blackjack Mine,MC0577,pyrolusite,,,,33.82505,-114.93411,MRDS,10237019,,"Reference Hand Sample(s),Powder",Rock Bag,Y,90,1.312,"1,312",E,E5,,
Lunenburg County,Nova Scotia,,C-15,New Ross Manganese Mine,MC0668,pyrolusite,Ore from Marpic Shaft in New Ross Mine.,Reference_10,,44.85128,-64.44418,NCAT,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,1.118,"1,118",F,F5,,
Hants County,Nova Scotia,,C-13,Stephen's Manganese Mine,MC0672,pyrolusite,,Reference_11,,45.22104,-62.01281,NCAT,,,Reference Hand Sample(s),Rock Bag,Y,70,0.26,260,F,F6,,
Argentina,Cordoba,,SA-3,Los Hoyos,MC0688,pyrolusite,"Aguada Del Monte (Hiermang) District in Sobremonte,Cordoba, Argentina ",Reference_24,,-29.86444,-64.11972,NCAT,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.736,736,G,G1,,
Argentina,Mendoza,,SA-6,Santa Cruz Mine,MC0694,pyrolusite,,,,-35.96415,-68.38276,MRDS,10004975,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,60,0.25,250,G,G1,,
Argentina,Rio Negro,,SA-1,,MC0696,pyrolusite,San Antonio Oeste,,,-40.74755,-64.96598,MRDS,10207156,,Reference Hand Sample(s),Rock Bag,Y,70,0.87,870,G,G1,,
Argentina,Santiago Del Estero,,SA-12,"""La Santiagueña""",MC0697,pyrolusite,,,,-29.44744,-64.03265,MRDS,60001312,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.858,858,G,G1,,
Japan,Hokkaido,,J-8,Pirika Mine,MC0750,pyrolusite,,Reference_17,Yu Hariya,42.49237,140.17604,ArcGIS,,,Reference Hand Sample(s),Paper Bag,Y,90,0.064,64,G,G5,,
Japan,Hokkaido,,J-16,Tanaka Manganese Mine,MC0755,pyrolusite,,Reference_17,Yu Hariya,42.34075,139.88189,ArcGIS,,,Reference Hand Sample(s),Paper Bag,Y,75,0.01,10,G,G5,,
Japan,Hokkaido,,J-20,Oshima Mine,MC0757,pyrolusite,"""Oshima Mine, Hokkaido""-Y. Hariya",Reference_17,Yu Hariya,41.58717,140.24127,ArcGIS,,,"Reference Hand Sample(s),Powder",Paper Bag,Y,90,0.028,28,G,G5,,
Japan,Hokkaido,,J-21,Otaru-Matsukura Mine,MC0758,pyrolusite,"""Otaru, Hokkaido""-Y. Hariya",Reference_13,Yu Hariya,43.1104,140.97091,ArcGIS,,,"Reference Hand Sample(s),Powder",Paper Bag,Y,90,0.01,10,G,G5,,
Japan,Hokkaido,,J-22,Wakasa Mine,MC0759,pyrolusite,"""Wakaba Mine, Hokkaido""-Y. Hariya",Reference_14,Yu Hariya,43.95056,143.68542,ArcGIS,,,"Reference Hand Sample(s),Powder",Paper Bag,Y,95,0.02,20,G,G5,,
Japan,Hokkaido,,J-30,Meppu Mine,MC0763,pyrolusite,"""Meppu Mine, Hokkaido""-Y. Hariya",Reference_17,Yu Hariya,42.45671,140.10383,ArcGIS,,,"Reference Hand Sample(s),Powder",Paper Bag,Y,90,0.012,12,G,G5,,
Indonesia,,,Misc-6,Kembang Mine,MC0771,pyrolusite,"Java Island, Indonesia",,Ir. Koolhoven,-7.77766,110.19957,MRDS,10280581,,"Reference Hand Sample(s),Powder",Rock Bag,Y,75,0.118,118,G,G6,,
Indonesia,,,Misc-7,Karangnunggal Mine,MC0772,pyrolusite,"Java Island, Indonesia",,,-7.59768 ,107.99963,MRDS,10280205,,"Reference Hand Sample(s),Powder",Rock Bag,Y,75,0.256,256,G,G6,,
Pakistan,Balochistan,,SJK-2,,MC0788,pyrolusite,"Lasbela District, Balochistan, Pakistan",Reference_2,Igbal Ali,26.76491,66.41027,ArcGIS,,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,55,0.392,392,G,G6,,
Japan,Kanto,,J-6,Kyurazawa Mine,MC0748,pyrosmalite,"Shin-Sanjin ore body, Kyurazawa Mine, Ashio Town, Tochigi, Japan.",Reference_30,,36.57772,139.34762,ArcGIS,,,Reference Hand Sample(s),Paper Bag,N,40,0.032,32,G,G5,,
Buenaventura,,Chihuahua,M-35,,MC0487,ramsdellite,Terrenates District,,,29.69910,-106.79389,MRDS,10104183,,Reference Hand Sample(s),Rock Bag,Y,60,0.592,592,D,D4,,
Ensenada,,Baja California,M-22,Gavilan Mine,MC0510,ramsdellite,Ensenada Mining District,,J.A. Noble,32.16676,-116.16749,MRDS,10048929,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.249,249,D,D6,,
Riverside County,,California,Cal-73,Blythe Manganese Deposit,MC0548,ramsdellite,,,,39.54928,-121.15854,MRDS,10231506,,Reference Hand Sample(s),Rock Bag,Y,90,0.172,172,E,E3,,
Argentina,Santiago Del Estero,,SA-8,"""La Santiagueña""",MC0684,ramsdellite,,,,-29.44744,-64.03265,MRDS,60001312,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,70,1.272,"1,272",G,G1,,
Globe District,,Arizona,G-10,Ramboz Mine,MC0066,rhodochrosite,Rambo Mine,,M.D. Crittenden,33.45591,-110.77263,MRDS,10046307,,"Reference Hand Sample(s),Powder",Rock Bag,N,40,0.368,368,A,5,,
Tayoltita,,Durango,M-9,Araña Mine,MC0478,rhodochrosite,"San Dimas District in Durango, Mexico",,,24.10041,-105.93384,MRDS,10084804,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,65,0.368,368,D,D4,,
Clallam County,,Washington,,Thompson Claim,MC0200,rhodonite,Skokomish River,,John A. Straczek,42.33322,-111.70251,MRDS,10047897,,Reference Hand Sample(s),Rock Bag,N,30,0.256,256,A,14,,
Clallam County,,Washington,,Thompson Claim,MC0203,rhodonite,,,John A. Straczek,42.33322,-111.70251,MRDS,10047897,,Reference Hand Sample(s),Rock Bag,Y,50,0.434,434,A,14,,
Macon County,,North Carolina,E-32,Mason Mountain Rhodolite Mine,MC0440,rhodonite,,,,35.20341,-83.39129,MRDS,10126719,,Reference Hand Sample(s),Rock Bag,Y,80,0.224,224,D,D1,,
Hampshire County,,Massachusetts,E-56,Betts Manganese Mines,MC0450,rhodonite,,,D.F. Hewett,42.49526,-72.94732,MRDS,10067329,,Reference Hand Sample(s),Rock Bag,Y,90,1.374,"1,374",D,D2,,
Los Angeles County,,California,Cal-91,Purple Sage Deposit,MC0531,rhodonite,"Clarence Cruzan owned the Purple Sage deposit, whose last name is noted on samples.",,,34.54361,-118.37401,MRDS,10139642,,Reference Hand Sample(s),Rock Bag,Y,75,1.124,"1,124",E,E1,,
McCormick County,,North Carolina,E-16,Dorn Mine,MC0391,spessartite,,,,33.91904,-82.29125,MRDS,10083791,,Reference Hand Sample(s),Rock Bag,N,30,1.03,"1,030",C,C3,,
Mitchell County,,North Carolina,E-4,,MC0396,spessartite,Spruce Pine District,,,35.93339,-82.13315,MRDS,60000270,,Reference Hand Sample(s),Rock Bag,N,20,0.442,442,C,C3,,
Moneta,,Virginia,E-2,Wheatley Mine,MC0406,spessartite,,,,37.17507,-79.59754,MRDS,10100236,,Reference Hand Sample(s),Rock Bag,N,75,0.086,86,C,C4,,
Surry County,,North Carolina,E-29,Freeman Mine,MC0422,spessartite,,,,36.42588,-80.84370,MRDS,10224028,,Reference Hand Sample(s),Rock Bag,N,50,1.358,"1,358",C,C5,,
Clay County,,North Carolina,E-28,Shooting Creek Deposit,MC0425,spessartite,,,,35.05011,-83.74990,MRDS,10069118,,Reference Hand Sample(s),Rock Bag,N,55,1.844,"1,844",C,C5,,
Macon County,,North Carolina,E-27,Higdon Mountain,MC0431,spessartite,,,,35.17451,-83.29158,MRDS,10199609,,Reference Hand Sample(s),Rock Bag,Y,75,2.13,"2,130",C,C5,,
Allehhany County,,North Carolina,E-35,Bald Knob Deposit,MC0444,spessartite,,,Jewell J. Glass,36.53898,-81.08231,MRDS,10150753,,Reference Hand Sample(s),Rock Bag,N,85,2.638,"2,638",D,D1,,
Franklin County,,Massachusetts,E-56,Hawley Mine,MC0445,spessartite,,,,42.59998,-72.92452,MRDS,10083577,,Reference Hand Sample(s),Rock Bag,Y,75,0.932,932,D,D1,,
Louisa County ,,Virginia,E-51,Nelson Prospect,MC0452,spessartite,,,,39.04947,-78.47555,MRDS,10080728,,Reference Hand Sample(s),Rock Bag,Y,70,1.554,"1,554",D,On Dresser A,,
Utah County,,Utah,UT-10,Burgin Kenecott Mine,MC0270,sphalerite ,Drill cores from hole ET No.32 at 1052 level of Burgin Shaft.,,,39.95023,-112.04523,MRDS,10073158,,Core Sample(s),Rock Bag,N,25,0.15,150,B,B1,,
Wayne County,,Tennessee,E-5,Van Leer Mine,MC0435,strengite,,,,35.03291,-87.60641,MRDS,10178424,,Reference Hand Sample(s),Rock Bag,N,60,0.014,14,D,D1,,
Jackson County,,Oregon,OR-6,Shamrock Manganese,MC0233,tephroite,,,,42.59732,-122.97670,MRDS,10043050,,Reference Hand Sample(s),Rock Bag,Y,75,1.642,"1,642",A,17,,
Sussex County,,New Jersey,E-9,,MC0401,tephroite,Franklin-Sterling Hill Zinc District,,,41.10000,-74.58292,MRDS,10307218,,Reference Hand Sample(s),Rock Bag,N,45,0.756,756,C,C4,,
Sussex County,,New Jersey,E-9,,MC0402,tephroite,Franklin-Sterling Hill Zinc District,,,41.10000,-74.58292,MRDS,10307218,,Reference Hand Sample(s),Rock Bag,N,30,1.304,"1,304",C,C4,,
Hancock County,,Maine,E-7,Blue Hill Manganese Mine,MC0408,tephroite,,,,44.43435,-68.58876,MRDS,10218662,,Reference Hand Sample(s),Rock Bag,Y,40,0.912,912,C,C4,,
Sussex County,,New Jersey,E-6,,MC0432,tephroite,Franklin-Sterling Hill Zinc District,,,41.10000,-74.58292,MRDS,10307218,,Reference Hand Sample(s),Rock Bag,N,60,0.23,230,D,D1,,
Allehhany County,,North Carolina,E-35,Bald Knob Deposit,MC0443,tephroite,,,Jewell J. Glass,36.53898,-81.08231,MRDS,10150753,,Reference Hand Sample(s),Rock Bag,N,65,0.454,454,D,D1,,
Hampshire County,,Massachusetts,E-56,Betts Manganese Mines,MC0448,tephroite,,,Jewell J. Glass,42.49526,-72.94730,MRDS,10067329,,Reference Hand Sample(s),Rock Bag,Y,80,1.614,"1,614",D,D2,,
Calaveras County,,California,Cal-85,Kellogg Mine,MC0522,tephroite,Amador Group,,,38.05408,-120.65907,MRDS,10028798,,Reference Hand Sample(s),Rock Bag,Y,50,0.356,356,D,D6,,
Nevada County,,California,Cal-149,Smith Mine,MC0553,tephroite,,,,39.02459,-121.10993,MRDS,10115673,,Reference Hand Sample(s),Rock Bag,Y,60,0.516,516,E,E3,,
Amador County,,California,Cal-145,Lubanko Mine,MC0554,tephroite,,,,38.47018,-120.74824,MRDS,10109106,,Reference Hand Sample(s),Rock Bag,Y,55,0.6,600,E,E3,,
Amador County,,California,Cal-148,Germolis Mine,MC0562,tephroite,MRDS File Name: Germolie Rodonick,,,38.47684,-120.75658,MRDS,10095062,,Reference Hand Sample(s),Rock Bag,Y,70,1.514,"1,514",E,E4,,
Mariposa County,,California,Cal-25,Caldwell Mine,MC0652,tephroite,,,,37.68075,-120.28127,MRDS,10030814,,Reference Hand Sample(s),Rock Bag,N,40,1.224,"1,224",F,F4,,
Sonoma County,,California,Cal-25,Sonoma Mine,MC0653,tephroite,,,E.H. Bailey,38.54368,-122.98025,MRDS,10214375,,Reference Hand Sample(s),Rock Bag,N,45,1.196,"1,196",F,F4,,
