search_term,title,image_url,license,is_license_approved,attribution
Balaghat,File:Memoirs of the Geological Survey of India. (IA memoirsofgeologi3741geol).pdf,https://upload.wikimedia.org/wikipedia/commons/1/11/Memoirs_of_the_Geological_Survey_of_India._%28IA_memoirsofgeologi3741geol%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,True,"Photo © <div class=""fn value"">
Geological Survey of India</div> (Public domain)"
Balaghat,File:The Engineering and Mining Journal January - June 1893- Vol 55 Index (IA sim engineering-and-mining-journal january-june-1893 55 index).pdf,https://upload.wikimedia.org/wikipedia/commons/d/df/The_Engineering_and_Mining_Journal_January_-_June_1893-_Vol_55_Index_%28IA_sim_engineering-and-mining-journal_january-june-1893_55_index%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,True,Photo © Wikimedia Commons Contributor (Public domain)
Balaghat,File:The Engineering and Mining Journal January - June 1891- Vol 51 Index (IA sim engineering-and-mining-journal january-june-1891 51 index).pdf,https://upload.wikimedia.org/wikipedia/commons/b/b9/The_Engineering_and_Mining_Journal_January_-_June_1891-_Vol_51_Index_%28IA_sim_engineering-and-mining-journal_january-june-1891_51_index%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,True,Photo © Wikimedia Commons Contributor (Public domain)
Joda,File:A brief description of actual conditions in Mexico (IA briefdescription00vazq).pdf,https://upload.wikimedia.org/wikipedia/commons/3/3c/A_brief_description_of_actual_conditions_in_Mexico_%28IA_briefdescription00vazq%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,True,"Photo © <div class=""fn value"">
Vázquez, Samuel B</div> (Public domain)"
Joda,"File:Council Directive 2006-102-EC of 20 November 2006 adapting Directive 67-548-EEC on the classification, packaging and labelling of dangerous substances, by reason of the accession of Bulgaria and Romania (EUDR 2006-102).pdf",https://upload.wikimedia.org/wikipedia/commons/9/9c/Council_Directive_2006-102-EC_of_20_November_2006_adapting_Directive_67-548-EEC_on_the_classification%2C_packaging_and_labelling_of_dangerous_substances%2C_by_reason_of_the_accession_of_Bulgaria_and_Romania_%28EUDR_2006-102%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,OGL 3,False,Photo © Wikimedia Commons Contributor (OGL 3)
Joda,File:Elements of scientific agriculture (microform) - a prize essay (IA cihm 48061).pdf,https://upload.wikimedia.org/wikipedia/commons/d/d6/Elements_of_scientific_agriculture_%28microform%29_-_a_prize_essay_%28IA_cihm_48061%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,True,"Photo © <div class=""fn value"">
Norton, John P. (John Pitkin), 1822-1852</div> (Public domain)"
